Comuna,Propiedad,Precio,Direccion,Tamaño en m2,Dormitorios,Baños,ID
Talcahuano,Casa,180988262,"Rrb Propiedades// Venta Casa Brisas Del Sol, Brisas del Sol, Talcahuano, Biobío",150,3,2,165
Talcahuano,Casa,153800000,"Andrés Bello 361, 4260332 Concepcion, Talcahuano, Bío Bío, Chile, San Vicente-Tumbes, Talcahuano, Biobío",500,7,2,166
Talcahuano,Casa,110000000,"San Vicente, Talcahuano, San Vicente-Tumbes, Talcahuano, Biobío",630,4,1,167
Talcahuano,Casa,145898701,"Carlos Olivier, 5589, Carriel, Talcahuano, Biobío",230,6,2,168
Talcahuano,Casa,193915995,"Parques De Carriel Sn, Carriel, Talcahuano, Biobío",273,3,3,169
Talcahuano,Casa,121890053,"Michay 4619 Huachicoop Talcahuano, Talcahuano, Biobío",120,3,1,170
Talcahuano,Casa,258185296,"Pje. 19 4496, Carriel, Talcahuano, Biobío",280,3,3,171
Talcahuano,Casa,192069176,"Calle J, Talcahuano, Brisas del Sol, Talcahuano, Biobío",123,3,3,172
Talcahuano,Casa,151439158,"Brisas Sn, Brisas del Sol, Talcahuano, Biobío",107,3,2,173
Talcahuano,Casa,240086469,"Carriel, Talcahuano, Biobío",154,5,3,174
Talcahuano,Casa,145000000,"Cale Ll Sn, Brisas del Sol, Talcahuano, Biobío",130,3,3,175
Talcahuano,Casa,232699193,"Calle 7 6000 - 6300, Talcahuano, Chile, Brisas del Sol, Talcahuano, Biobío",188,4,3,176
Talcahuano,Casa,262248297,"Brisas Del Sol, Talcahuano, Brisas del Sol, Talcahuano, Biobío",215,4,3,177
Talcahuano,Casa,250428656,"Av. Jorge 546, San Vicente-Tumbes, Talcahuano, Biobío",140,4,3,178
Talcahuano,Casa,160000000,"Jaime Repullo 3815, Condominio Morrillos De Perales, Carriel, Talcahuano, Biobío",145,3,2,179
Talcahuano,Casa,188000000,"Vasco Nuñez De Balboa 3456, Carriel, Talcahuano, Biobío",250,4,3,180
Talcahuano,Casa,251167383,"Brisas Del Sol, Talcahuano, Brisas del Sol, Talcahuano, Biobío",210,4,3,181
Talcahuano,Casa,145972573,"Talcahuano, Biobío",189,3,2,182
Talcahuano,Casa,151439158,"Se Vende Casa Grande En Sector Los Condores, Talcahuano, Biobío",225,5,2,183
Talcahuano,Casa,199456452,"Jaime Repullo, Carriel, Talcahuano, Biobío",197,4,3,184
Talcahuano,Casa,183000000,"Venta Casa. Valle San Eugenio. Talcahuano., San Vicente-Tumbes, Talcahuano, Biobío",167,4,3,185
Talcahuano,Casa,203150090,"Higueras, Carriel, Talcahuano, Biobío",220,3,2,186
Talcahuano,Casa,99000000,"Los Maquis 346, Carriel, Talcahuano, Biobío",112,5,2,187
Talcahuano,Casa,170000000,"C. 7 4515, Talcahuano, Bío Bío, Chile, Carriel, Talcahuano, Biobío",250,3,2,188
Talcahuano,Casa,258554659,"Avenida Parques De Carriel 5580, Concepción, Talcahuano, Chile, Talcahuano, Biobío",190,3,3,189
Talcahuano,Casa,177294624,"Calle Nueva 1, Talcahuano, Chile, Talcahuano, Biobío",106,3,2,192
Talcahuano,Casa,250761083,"Talcahuano, Biobío",600,3,1,193
Talcahuano,Casa,83000000,"Raquelita Sn, San Vicente-Tumbes, Talcahuano, Biobío",364,3,1,194
Talcahuano,Casa,291797402,"Talcahuano, Biobío",198,4,3,195
Talcahuano,Casa,150000000,"Villa Ensenada, Talcahuano, Biobío",130,4,1,196
Talcahuano,Casa,140358244,"Estadio Medio Camino - Ejército, Talcahuano, Chile, Talcahuano, Biobío",147,4,2,197
Talcahuano,Casa,100651635,"Casa En Talcahuano, Carriel, Talcahuano, Biobío",112,4,1,198
Talcahuano,Casa,250000000,"San Carlos 512, Carriel, Talcahuano, Biobío",540,4,2,199
Talcahuano,Casa,258554659,"Talcahuano, Biobío",200,3,3,200
Talcahuano,Casa,258185296,"Avenida Parques De Carriel 9000 - 9300, Talcahuano, Chile, Talcahuano, Biobío",200,3,3,201
Talcahuano,Casa,258554659,"Parques De Carriel 9279, Concepción, Talcahuano, Chile, Talcahuano, Biobío",200,3,3,202
Talcahuano,Casa,251167383,"Talcahuano, Biobío",236,3,3,203
Talcahuano,Casa,99728226,"Tepa, Talcahuano, Concepcion, Chile, Carriel, Talcahuano, Biobío",128,3,2,205
Talcahuano,Casa,360683750,"Brisas del Sol, Talcahuano, Biobío",280,4,3,206
Talcahuano,Casa,120000000,"Las Salinas, Carriel, Talcahuano, Biobío",174,3,1,207
Talcahuano,Casa,203150090,"Av. Tierras Coloradas 300 - 600, Concepción, Bío Bío, Chile, Talcahuano, Biobío",130,3,2,208
Talcahuano,Casa,210000000,"Los Jacintos 4800 - 5100, Concepción, Talcahuano, Chile, Talcahuano, Biobío",227,4,3,209
Talcahuano,Casa,105000000,"Manuel Zañartu 1, Talcahuano, Chile, Carriel, Talcahuano, Biobío",270,3,1,210
Talcahuano,Casa,195762814,"Se Vende Casa Aislada 4d, 3b En Brisas Del Sol/talcahuano, Brisas del Sol, Talcahuano, Biobío",175,4,3,211
Talcahuano,Casa,127000000,"Basilio Urrutia Sn, Carriel, Talcahuano, Biobío",248,4,1,212
Talcahuano,Casa,130000000,"Manuel Bayón 639, Talcahuano, Chile, Carriel, Talcahuano, Biobío",75,3,2,213
Talcahuano,Casa,140000000,"Basilio Urrutia 4178, Talcahuano, Chile, Carriel, Talcahuano, Biobío",140,6,2,214
Talcahuano,Casa,313959230,"Avenida Parques De Carriel, Concepción, Talcahuano, Chile, Talcahuano, Biobío",324,4,4,216
Talcahuano,Casa,192069176,"Acceso Jaime Repullo 2802, Talcahuano, Chile, Talcahuano, Biobío",200,5,3,217
Talcahuano,Casa,150000000,"Higueras, Talcahuano, Chile, Carriel, Talcahuano, Biobío",250,3,2,218
